config_id,framework,backend,case_id,category,batch_index,request_index,profile,status,elapsed_ms,ttft_ms,mean_itl_ms,p50_itl_ms,p95_itl_ms,prompt_tokens,completion_tokens,completion_units,tok_per_s,error
vllm_flashinfer_batch8192,vllm,flashinfer,decode_heavy_c8_short,decode_pressure,1,1,short,ok,20251,344.1331386566162,19.459528191231797,19.200563430786133,19.771814346313477,0,0,1024,50.56540417757147,
vllm_flashinfer_batch8192,vllm,flashinfer,decode_heavy_c8_short,decode_pressure,1,2,short,ok,20286,622.0130920410156,19.292871430296895,19.19722557067871,19.76776123046875,0,0,1020,50.28098195800059,
vllm_flashinfer_batch8192,vllm,flashinfer,decode_heavy_c8_short,decode_pressure,1,3,short,ok,20329,621.5903759002686,19.33554812198298,19.188404083251953,19.753456115722656,0,0,1020,50.17462737960549,
vllm_flashinfer_batch8192,vllm,flashinfer,decode_heavy_c8_short,decode_pressure,1,4,short,ok,20263,620.4268932342529,19.276315494421304,19.183874130249023,19.750118255615234,0,0,1020,50.338054582243494,
vllm_flashinfer_batch8192,vllm,flashinfer,decode_heavy_c8_short,decode_pressure,1,5,short,ok,20303,619.7528839111328,19.31074042315572,19.207239151000977,19.779443740844727,0,0,1020,50.23888095355366,
vllm_flashinfer_batch8192,vllm,flashinfer,decode_heavy_c8_short,decode_pressure,1,6,short,ok,20272,618.405818939209,19.276220501346607,19.197702407836914,19.74654197692871,0,0,1020,50.31570639305446,
vllm_flashinfer_batch8192,vllm,flashinfer,decode_heavy_c8_short,decode_pressure,1,7,short,ok,20265,617.6671981811523,19.276086902712,19.167661666870117,19.8214054107666,0,0,1020,50.33308660251665,
vllm_flashinfer_batch8192,vllm,flashinfer,decode_heavy_c8_short,decode_pressure,1,8,short,ok,20275,616.5292263031006,19.292380086807086,19.20461654663086,19.789457321166992,0,0,1020,50.30826140567201,
vllm_flashinfer_batch8192,vllm,flashinfer,decode_heavy_c8_short,decode_pressure,2,1,short,ok,20337,638.1978988647461,19.326616199257565,19.197702407836914,19.75727081298828,0,0,1020,50.15489010178492,
vllm_flashinfer_batch8192,vllm,flashinfer,decode_heavy_c8_short,decode_pressure,2,2,short,ok,20264,358.91008377075195,19.457680505508318,19.2110538482666,19.680261611938477,0,0,1024,50.53296486379787,
vllm_flashinfer_batch8192,vllm,flashinfer,decode_heavy_c8_short,decode_pressure,2,3,short,ok,20330,636.1677646636963,19.30985740871261,19.20485496520996,19.733667373657227,0,0,1020,50.17215937038859,
vllm_flashinfer_batch8192,vllm,flashinfer,decode_heavy_c8_short,decode_pressure,2,4,short,ok,20317,635.9620094299316,19.309092316707055,19.210100173950195,19.742965698242188,0,0,1020,50.20426244032091,
vllm_flashinfer_batch8192,vllm,flashinfer,decode_heavy_c8_short,decode_pressure,2,5,short,ok,20300,634.5176696777344,19.29872777674921,19.211769104003906,19.699811935424805,0,0,1020,50.24630541871921,
vllm_flashinfer_batch8192,vllm,flashinfer,decode_heavy_c8_short,decode_pressure,2,6,short,ok,20274,633.587121963501,19.27502302707002,19.199848175048828,19.689559936523438,0,0,1020,50.31074282332051,
vllm_flashinfer_batch8192,vllm,flashinfer,decode_heavy_c8_short,decode_pressure,2,7,short,ok,20280,633.1839561462402,19.280856912105662,19.220590591430664,19.70386505126953,0,0,1020,50.29585798816568,
vllm_flashinfer_batch8192,vllm,flashinfer,decode_heavy_c8_short,decode_pressure,2,8,short,ok,20284,631.7746639251709,19.286071938317235,19.200801849365234,19.74010467529297,0,0,1020,50.285939656872415,
vllm_flashinfer_batch8192,vllm,flashinfer,decode_heavy_c8_short,decode_pressure,3,1,short,ok,20252,341.89677238464355,19.46269918163967,19.20938491821289,19.69122886657715,0,0,1024,50.562907367173615,
vllm_flashinfer_batch8192,vllm,flashinfer,decode_heavy_c8_short,decode_pressure,3,2,short,ok,20334,619.5833683013916,19.346559831508827,19.210100173950195,19.7451114654541,0,0,1020,50.16228976099144,
vllm_flashinfer_batch8192,vllm,flashinfer,decode_heavy_c8_short,decode_pressure,3,3,short,ok,20318,618.5331344604492,19.332921072124147,19.2105770111084,19.71435546875,0,0,1020,50.201791514912884,
vllm_flashinfer_batch8192,vllm,flashinfer,decode_heavy_c8_short,decode_pressure,3,4,short,ok,20289,617.1224117279053,19.299685428608154,19.218921661376953,19.724130630493164,0,0,1020,50.273547242348066,
vllm_flashinfer_batch8192,vllm,flashinfer,decode_heavy_c8_short,decode_pressure,3,5,short,ok,20282,616.1165237426758,19.299339850353658,19.205093383789062,19.736051559448242,0,0,1020,50.29089833349768,
vllm_flashinfer_batch8192,vllm,flashinfer,decode_heavy_c8_short,decode_pressure,3,6,short,ok,20267,614.8848533630371,19.279338894695247,19.23847198486328,19.71125602722168,0,0,1020,50.328119603296,
vllm_flashinfer_batch8192,vllm,flashinfer,decode_heavy_c8_short,decode_pressure,3,7,short,ok,20259,613.7783527374268,19.279574973543447,19.216060638427734,19.675731658935547,0,0,1020,50.34799348437731,
vllm_flashinfer_batch8192,vllm,flashinfer,decode_heavy_c8_short,decode_pressure,3,8,short,ok,20272,613.0194664001465,19.284370018057782,19.217729568481445,19.681215286254883,0,0,1020,50.31570639305446,
vllm_flashinfer_batch8192,vllm,flashinfer,decode_heavy_c8_short,decode_pressure,4,1,short,ok,20302,612.0491027832031,19.31003405839585,19.211530685424805,19.71602439880371,0,0,1020,50.24135553147473,
vllm_flashinfer_batch8192,vllm,flashinfer,decode_heavy_c8_short,decode_pressure,4,2,short,ok,20237,333.2781791687012,19.456919337297816,19.20771598815918,19.724130630493164,0,0,1024,50.60038543262342,
vllm_flashinfer_batch8192,vllm,flashinfer,decode_heavy_c8_short,decode_pressure,4,3,short,ok,20256,611.840009689331,19.27325044693727,19.202709197998047,19.748687744140625,0,0,1020,50.355450236966824,
vllm_flashinfer_batch8192,vllm,flashinfer,decode_heavy_c8_short,decode_pressure,4,4,short,ok,20276,610.7180118560791,19.29812365822984,19.193172454833984,19.743919372558594,0,0,1020,50.305780232787534,
vllm_flashinfer_batch8192,vllm,flashinfer,decode_heavy_c8_short,decode_pressure,4,5,short,ok,20263,610.6066703796387,19.286009701475194,19.20604705810547,19.739389419555664,0,0,1020,50.338054582243494,
vllm_flashinfer_batch8192,vllm,flashinfer,decode_heavy_c8_short,decode_pressure,4,6,short,ok,20288,610.1641654968262,19.31095193482943,19.217967987060547,19.70982551574707,0,0,1020,50.27602523659306,
vllm_flashinfer_batch8192,vllm,flashinfer,decode_heavy_c8_short,decode_pressure,4,7,short,ok,20249,610.0232601165771,19.273549698519872,19.189119338989258,19.747495651245117,0,0,1020,50.37285791890958,
vllm_flashinfer_batch8192,vllm,flashinfer,decode_heavy_c8_short,decode_pressure,4,8,short,ok,20267,609.8103523254395,19.284834922588374,19.209861755371094,19.68979835510254,0,0,1020,50.328119603296,
