config_id,framework,backend,label,case_id,concurrency,prompt_tokens,max_tokens,batch_index,request_index,elapsed_ms,completion_tokens,total_tokens,tok_per_s,status,error
vllm_flashinfer,vllm,flashinfer,vLLM flashinfer,c8_1k_each,8,2189,256,1,6,7319,256,2445,34.9775,ok,
vllm_flashinfer,vllm,flashinfer,vLLM flashinfer,c8_1k_each,8,2189,256,1,7,7318,256,2445,34.9822,ok,
vllm_flashinfer,vllm,flashinfer,vLLM flashinfer,c8_1k_each,8,2189,256,1,8,7330,256,2445,34.9250,ok,
vllm_flashinfer,vllm,flashinfer,vLLM flashinfer,c8_1k_each,8,2189,256,2,1,7338,256,2445,34.8869,ok,
vllm_flashinfer,vllm,flashinfer,vLLM flashinfer,c8_1k_each,8,2189,256,2,2,7303,256,2445,35.0541,ok,
vllm_flashinfer,vllm,flashinfer,vLLM flashinfer,c8_1k_each,8,2189,256,2,3,7282,256,2445,35.1552,ok,
vllm_flashinfer,vllm,flashinfer,vLLM flashinfer,c8_1k_each,8,2189,256,2,4,7302,256,2445,35.0589,ok,
vllm_flashinfer,vllm,flashinfer,vLLM flashinfer,c8_1k_each,8,2189,256,2,5,7320,256,2445,34.9727,ok,
vllm_flashinfer,vllm,flashinfer,vLLM flashinfer,c8_1k_each,8,2189,256,2,6,7320,256,2445,34.9727,ok,
vllm_flashinfer,vllm,flashinfer,vLLM flashinfer,c8_1k_each,8,2189,256,2,7,7337,256,2445,34.8916,ok,
vllm_flashinfer,vllm,flashinfer,vLLM flashinfer,c8_1k_each,8,2189,256,2,8,7348,256,2445,34.8394,ok,
vllm_flashinfer,vllm,flashinfer,vLLM flashinfer,c8_1k_each,8,2189,256,3,1,7323,256,2445,34.9584,ok,
vllm_flashinfer,vllm,flashinfer,vLLM flashinfer,c8_1k_each,8,2189,256,3,2,7323,256,2445,34.9584,ok,
vllm_flashinfer,vllm,flashinfer,vLLM flashinfer,c8_1k_each,8,2189,256,3,3,7304,256,2445,35.0493,ok,
vllm_flashinfer,vllm,flashinfer,vLLM flashinfer,c8_1k_each,8,2189,256,3,4,7284,256,2445,35.1455,ok,
vllm_flashinfer,vllm,flashinfer,vLLM flashinfer,c8_1k_each,8,2189,256,3,5,7353,256,2445,34.8157,ok,
vllm_flashinfer,vllm,flashinfer,vLLM flashinfer,c8_1k_each,8,2189,256,3,6,7340,256,2445,34.8774,ok,
vllm_flashinfer,vllm,flashinfer,vLLM flashinfer,c8_1k_each,8,2189,256,3,7,7340,256,2445,34.8774,ok,
vllm_flashinfer,vllm,flashinfer,vLLM flashinfer,c8_1k_each,8,2189,256,3,8,7352,256,2445,34.8205,ok,
vllm_flashinfer,vllm,flashinfer,vLLM flashinfer,c8_1k_each,8,2189,256,4,1,7287,256,2445,35.1311,ok,
vllm_flashinfer,vllm,flashinfer,vLLM flashinfer,c8_1k_each,8,2189,256,4,2,7306,256,2445,35.0397,ok,
vllm_flashinfer,vllm,flashinfer,vLLM flashinfer,c8_1k_each,8,2189,256,4,3,7324,256,2445,34.9536,ok,
vllm_flashinfer,vllm,flashinfer,vLLM flashinfer,c8_1k_each,8,2189,256,4,4,7324,256,2445,34.9536,ok,
vllm_flashinfer,vllm,flashinfer,vLLM flashinfer,c8_1k_each,8,2189,256,4,5,7343,256,2445,34.8631,ok,
vllm_flashinfer,vllm,flashinfer,vLLM flashinfer,c8_1k_each,8,2189,256,4,6,7355,256,2445,34.8063,ok,
vllm_flashinfer,vllm,flashinfer,vLLM flashinfer,c8_1k_each,8,2189,256,4,7,7342,256,2445,34.8679,ok,
vllm_flashinfer,vllm,flashinfer,vLLM flashinfer,c8_1k_each,8,2189,256,4,8,7354,256,2445,34.8110,ok,
vllm_flashinfer,vllm,flashinfer,vLLM flashinfer,c8_1k_each,8,2189,256,5,1,7311,256,2445,35.0157,ok,
